akceptować	zaakceptować
odpychać	odepchnąć
odkręcać	odkręcić
odrzucać	odrzucić
odskakiwać	odskoczyć
opadać	opaść
opierać	oprzeć
uplasować	plasować
podpierać	podeprzeć
podejmować	podjąć
przedostawać się	przedostać się
przemierzać	przemierzyć
przekładać	przełożyć
przemieszczać	przemieścić
przechowywać	przechować
odwzajemniać się	odwzajemnić się
odpłacać się	odpłacić się
ewoluować	wyewoluować
finalizować	sfinalizować
hamować	zahamować
hamować	zahamować
odraczać	odroczyć
przyspieszać	przyspieszyć
umożliwiać	umożliwić
unieważniać	unieważnić
zakazywać	zakazać
nadwerężać	nadwerężyć
pękać	pęknąć
rozbijać	rozbić
rozwierać się	rozewrzeć się
decydować się	zdecydować się
opóźniać	opóźnić
barykadować	zabarykadować
miażdżyć	zmiażdżyć
wieszać	powiesić
drętwieć	zdrętwieć
bieleć	zbieleć
bieleć	pobieleć
rozprzestrzeniać się	rozprzestrzenić się
dogasać	dogasnąć
migotać	zamigotać
mrugać	mrugnąć
zapalać się	zapalić się
oświetlać	oświetlić
przygasać	przygasnąć
rozniecać	rozniecić
rozpalać się	rozpalić się
zapalać	zapalić
rozpalać	rozpalić
rozniecać	rozniecić
dojadać	dojeść
dopijać	dopić
gotować	ugotować
faszerować	nafaszerować
nadziewać	nadziać
piec	upiec
smażyć	usmażyć
przyrządzać	przyrządzić
kroić	skroić
kroić	pokroić
obierać	obrać
piec się	upiec się
przeżuwać	przeżuć
gryźć	ugryźć
rozlewać	rozlać
rozlewać	rozlać
nalewać	nalać
wędzić	uwędzić
wlewać	wlać
wyjadać	wyjeść
mijać	minąć
chłeptać	wychłeptać
dopytywać	dopytać
kłócić się	pokłócić się
kontrastować	skontrastować
połykać	połknąć
porywać	porwać
skracać	skrócić
zakreślać	zakreślić
zaznaczać	zaznaczyć
wyłączać	wyłączyć
odłączać	odłączyć
drukować	wydrukować
wydzierżawiać	wydzierżawić
wydzierżawiać	wydzierżawić
powtarzać	powtórzyć
robić	zrobić
odstawiać	odstawić
dublować	zdublować
ponawiać	ponowić
zwielokrotniać	zwielokrotnić
uwielokrotniać	uwielokrotnić
podwajać	podwoić
potrajać	potroić
ustokrotniać	ustokrotnić
dublować	zdublować
zdwajać	zdwoić
łączyć	załączyć
scalać	scalić
spajać	spoić
zespalać	zespolić
zestawiać	zestawić
złączać	złączyć
przeszywać	przeszyć
rozstawiać po kątach	rozstawić po kątach
podporządkowywać	podporządkować
uzależniać	uzależnić
wchodzić na głowę	wejść na głowę
owijać wokół palca	owinąć wokół palca
oprowadzać	oprowadzić
eskortować	odeskortować
podglądać	podglądnąć
podpatrywać	podpatrzyć
redukować	zredukować
chrzcić	ochrzcić
doić	wydoić
dusić się	udusić się
ujeżdżać	ujeździć
numerować	ponumerować
biczować	ubiczować
naprawiać	naprawić
cerować	zacerować
katalogować	skatalogować
użyźniać	użyźnić
prasować	uprasować
prasować	wyprasować
szorować	wyszorować
tasować	potasować
przecinać	przeciąć
wydzielać	wydzielić
odmierzać	odmierzyć
wydawać głos	wydać głos
ćwierkać	ćwierknąć
nucić	zanucić
piać	zapiać
skrzeczeć	zaskrzeczeć
usypiać	usnąć
podejmować	podjąć
odwracać	odwrócić
nagrywać	nagrać
tworzyć	stworzyć
żywić się	pożywić się
gryźć	ugryźć
kaleczyć	skaleczyć
urażać	urazić
odbywać	odbyć
zakładać	założyć
zamyślać	zamyślić
przewidywać	przewidzieć
pokrywać się	pokryć się
powlekać się	powlec się
wabić	zwabić
komunikować	zakomunikować
zarażać	zarazić
zarażać	zarazić
ulepszać	ulepszyć
wytłaczać	wytłoczyć
golić	zgolić
wbiegać	wbiec
dostawać się	dostać się
wskakiwać	wskoczyć
wymijać	wyminąć
demolować	zdemolować
czerwienieć	poczerwienieć
czerwienieć	sczerwienieć
lustrować	zlustrować
czerwienieć	poczerwienieć
czerwienieć	sczerwienieć
puszczać się	puścić się
dobierać	dobrać
dobierać	dobrać
dopasowywać	dopasować
dopasowywać	dopasować
dostosowywać	dostosować
dopasowywać	dopasować
zwężać	zwęzić
przeszywać	przeszyć
przerabiać	przerobić
rysować	narysować
kreślić	wykreślić
skreślać	skreślić
wykreślać	wykreślić
przekreślać	przekreślić
oddalać	oddalić
odwalać	odwalić
odbębniać	odbębnić
odwalać	odwalić
szkicować	naszkicować
szkicować	naszkicować
odwalać	odwalić
przepisywać	przepisać
kopiować	skopiować
opatrzyć	opatrywać
opatrzyć	opatrywać
opatrzyć	opatrywać
przestawiać	przestawić
przestawiać	przestawić
przestawiać	przestawić
oddzielać się	oddzielić się
odłączać się	odłączyć się
oddzielać	oddzielić
odczepiać się	odczepić się
odklejać się	odkleić się
odlepiać się	odlepić się
odkręcać się	odkręcić się
odmarzać	odmarznąć
brnąć	przebrnąć
radzić sobie	poradzić sobie
rozrywać się	rozerwać się
przedzierać się	przedrzeć się
usuwać się	usunąć się
odpadać	odpaść
usuwać się	usunąć się
osuwać się	osunąć się
obsuwać się	obsunąć się
ustępować	ustąpić
wycofywać się	wycofać się
wkradać się	wkraść się
zakradać się	zakraść się
oczyszczać	oczyścić
destylować	wydestylować
dezynsekować	zdezynsekować
odrobaczać	odrobaczyć
zmniejszać	zmniejszyć
kurczyć	skurczyć
miniaturyzować	zminiaturyzować
lodowacieć	zlodowacieć
grubieć	pogrubieć
grubieć	zgrubieć
nabrzmiewać	nabrzmieć
puchnąć	opuchnąć
puchnąć	napuchnąć
puchnąć	spuchnąć
obrzmiewać	obrzmieć
sztywnieć	zesztywnieć
naprężać się	naprężyć się
napinać się	napiąć się
wysilać się	wysilić się
obrzękać	obrzęknąć
wydzielać	wydzielić
wytwarzać	wytworzyć
krwawić	skrwawić
sinieć	posinieć
sinieć	zsinieć
mięknąć	zmięknąć
wiotczeć	zwiotczeć
twardnieć	stwardnieć
czerstwieć	sczerstwieć
kostnieć	skostnieć
rogowacieć	zrogowacieć
marznąć	zmarznąć
ziębnąć	zziębnąć
kostnieć	skostnieć
chłodzić	ochłodzić
ziębić	oziębić
obniżać	obniżyć
wyciskać	wycisnąć
wydostawać	wydostać
doić	wydoić
dudlić	wydudlić
doić	wydoić
dobudowywać	dobudować
budować	zbudować
budować	wybudować
dobudowywać	dobudować
tynkować	otynkować
asfaltować	wyasfaltować
brukować	wybrukować
malować	pomalować
orientować	zorientować
pstrzyć	upstrzyć
brudzić	ubrudzić
brudzić	pobrudzić
brukać	zbrukać
błocić	zabłocić
paćkać	upaćkać
załatwiać się	załatwić się
wydalać	wydalić
sikać	siknąć
oddawać mocz	oddać mocz
lać	nalać
wypróżniać się	wypróżnić się
oddawać kał	oddać kał
robić kupę	zrobić kupę
srać	osrać
popuszczać	popuścić
zwracać	zwrócić
myć	umyć
kąpać	wykąpać
podmywać	podmyć
odkurzać	odkurzyć
zamiatać	zamieść
obmiatać	obmieść
omiatać	omieść
oblekać	oblec
rodzić	urodzić
rozmnażać się	rozmnożyć się
kocić się	okocić się
rysować	narysować
blednąć	poblednąć
blednąć	pobladnąć
blednąć	zblednąć
bladnąć	zbladnąć
demonstrować	zademonstrować
przejawiać	przejawić
wykazywać	wykazać
wylewać	wylać
ukrywać	ukryć
zielenieć	zzielenieć
kraśnieć	skraśnieć
zaczerwieniać się	zaczerwienić się
zarumieniać się	zarumienić się
stawać w pąsach	stanąć w pąsach
stawać w płomieniach	stanąć w płomieniach
stawać w ogniu	stanąć w ogniu
oblewać się pąsem	oblać się pąsem
zaogniać się	zaognić się
spiekać raka	spiec raka
spiekać raczka	spiec raczka
zaczerwieniać się	zaczerwienić się
rdzewieć	zardzewieć
zaczerwieniać się po uszy	zaczerwienić się po uszy
wykańczać	wykończyć
wykańczać	wykończyć
wykańczać	wykończyć
męczyć	zmęczyć
wykończać	wykończyć
wyczerpywać	wyczerpać
osłabiać	osłabić
wykańczać	wykończyć
niszczyć	zniszczyć
niszczyć	zniszczyć
niszczyć	zniszczyć
dezorganizować	zdezorganizować
przerywać	przerwać
psuć	popsuć
psuć	zepsuć
pogarszać	pogorszyć
grzmocić	grzmotnąć
chlustać	chlusnąć
dosuwać	dosunąć
hukać	huknąć
kropić	kropnąć
łupać	łupnąć
machać	machnąć
przydzwaniać	przydzwonić
przyfastrygowywać	przyfastrygować
przygrzewać	przygrzać
przykładać	przyłożyć
przyfasalać	przyfasolić
przykrochmalać	przykrochmalić
przypieprzać	przypieprzyć
dopierdalać	dopierdolić
przypierdalać	przypierdolić
przypierniczać	przypierniczyć
przyrzynać	przyrżnąć
przysalać	przysolić
przysuwać	przysunąć
zaczerwieniać się jak indyk	zaczerwienić się jak indyk
zaczerwieniać się jak burak	zaczerwienić się jak indyk
zaczerwieniać się jak rak	zaczerwienić się jak rak
zaczerwieniać się jak piwonia	zaczerwienić się jak piwonia
przywalać	przywalić
rąbać	rąbnąć
rypać	rypnąć
przebudzać	przebudzić
strzelać	strzelić
przebudzać	przebudzić
trzaskać	trzasnąć
zamalowywać	zamalować
zasuwać	zasunąć
zaprawiać	zaprawić
zapierdalać	zapierdolić
dopieprzać	dopieprzyć
grzmotnąć	grzmocić
kropić	kropnąć
majdać	majdnąć
majtać	majtnąć
praskać	prasnąć
smyrgać	smyrgnąć
trzepać	trzepnąć
walić	walnąć
podrzucać	podrzucić
obrzucać	obrzucić
przewracać się	przewrócić się
przewracać	przewrócić
fajtać	fajtnąć
przewalać	przewalić
przewalać się	przewalić się
rozkładać się	rozłożyć się
wychrzaniać	wychrzanić
wychrzaniać się	wychrzanić się
wypieprzać się	wypieprzyć się
wypierniczać się	wypierniczyć się
wywalać się	wywalić się
wywijać orła	wywinąć orła
wywracać	wywrócić
wywracać się	wywrócić się
zarywać nosem	zaryć nosem
grzać	przygrzać
grzmocić	grzmotnąć
kropić	kropnąć
łupać	łupnąć
odpalać	odpalić
pluć	plunąć
przygrzewać	przygrzać
rąbać	rąbnąć
walić	walnąć
wygarniać	wygarnąć
wypuszczać	wypuścić
chlustać	chlusnąć
grzmocić	grzmotnąć
naoliwiać się	naoliwić się
grzmocić się	grzmotnąć się
trykać się	tryknąć się
wykorzystywać	wykorzystać
dobierać się	dobrać się
walić	walnąć
rozdrabniać	rozdrobnić
kruszyć	pokruszyć
drobić	podrobić
odłamywać	odłamać
odłupywać	odłupać
roztrzaskiwać	roztrzaskać
unieruchamiać	unieruchomić
obezwładniać	obezwładnić
skuwać	skuć
skuwać	skuć
skuwać	skuć
skuwać	skuć
wykruszać	wykruszyć
podważać	podważyć
wyłupywać	wyłupać
rozszczepiać	rozszczepić
rozpoławiać	rozpołowić
przepoławiać	przepołowić
kształtować	ukształtować
formować	uformować
nadawać	nadać
wykuwać	wykuć
odkuwać	odkuć
odkuwać	odkuć
wkuwać	wkuć
wykuwać	wykuć
kształtować	ukształtować
fałdować	pofałdować
fałdować	sfałdować
układać	ułożyć
marszczyć	namarszczyć
marszczyć	zmarszczyć
marszczyć	namarszczyć
marszczyć	zmarszczyć
ściągać	ściągnąć
modelować	wymodelować
rozszczepiać	rozszczepić
rzeźbić	wyrzeźbić
mleć	zemleć
obrabiać	obrobić
rozpłaszczać	rozpłaszczyć
przepuszczać	przepuścić
przesiewać	przesiać
lepić	ulepić
lustrować	zlustrować
penetrować	spenetrować
penetrować	spenetrować
podpalać	podpalić
osrywać	osrać
osrywać	osrać
zapaskudzać	zapaskudzić
zasrywać	zasrać
obsrywać	obsrać
zasikiwać	zasikać
zabrudzać	zabrudzić
posikiwać	posikać
osikiwać	osikać
szczać	poszczać
szczać	oszczać
szczać	zaszczać
moczyć	zmoczyć
osuszać	osuszyć
wysuszać	wysuszyć
studiować	przestudiować
przymocowywać	przymocować
przytwierdzać	przytwierdzić
przyszywać	przyszyć
naszywać	naszyć
aplikować	zaaplikować
deptać	zdeptać
przygniatać	przygnieść
przeszukiwać	przeszukać
przygotowywać się	przygotować się
nieruchomieć	znieruchomieć
zawiewać	zawiać
popisywać się	popisać się
szpanować	zaszpanować
zamierać	zamrzeć
otrząsnąć się	otrząsać się
ożywiać	ożywić
ożywiać się	ożywić się
przywracać	przywrócić
doprowadzać	doprowadzić
ozywać się	ozwać się
rozbrzmiewać	rozbrzmieć
rozlegać się	rozlec się
uczulać	uczulić
zaskarbiać	zaskarbić
objeżdżać	objechać
obstawiać	obstawić
obstawiać	obstawić
stawiać	postawić
przeczesywać	przeczesać
przetrząsać	przetrząsnąć
przetrząsać	przetrząsnąć
rozbierać	rozebrać
wdrapywać się	wdrapać się
wdzierać się	wedrzeć się
potrącać	potrącić
trącać	trącić
szturchać	szturchnąć
kuksać	kuksnąć
podkradać	podkraść
podbierać	podebrać
podkradać się	podkraść się
zakradać się	zakraść się
objeżdżać	objechać
przeczesywać	przeczesać
sprzątać	sprzątnąć
demontować	zdemontować
rozbierać	rozebrać
wietrzyć	wywietrzyć
wietrzyć	zwietrzyć
węszyć	wywęszyć
zastawiać	zastawić
zastawiać	zastawić
zastawiać	zastawić
rozbierać	rozebrać
odpierać	odeprzeć
odparowywać	odparować
ripostować	zripostować
przemieniać się	przemienić się
męczyć się	zmęczyć się
utrudzać się	utrudzić się
nawiązywać	nawiązać
zaczerpywać	zaczerpnąć
mordować się	zmordować się
trwać	potrwać
przyklękiwać	przyklęknąć
polewać	polać
lukrować	polukrować
upiększać	upiększyć
rozkładać się	rozłożyć się
rozciągać się	rozciągnąć się
rozpłaszczać się	rozpłaszczyć się
rozwalać się	rozwalić się
wyciągać gnaty	wyciągnąć gnaty
wyciągać się	wyciągnąć się
wyciągać kości	wyciągnąć kości
zanurzać	zanurzyć
przykucać	przykucnąć
przysiadać	przysiąść
ruszać się	ruszyć się
stawać	stanąć
rozgrzewać	rozgrzać
ogrzewać się	ogrzać się
tajać	odtajać
ogrzewać	ogrzać
zagrzewać	zagrzać
wygrzewać się	wygrzać się
dogrzewać się	dogrzać się
wylegiwać się	wyleżeć się
parzyć	sparzyć
zaparzać	zaparzyć
parzyć	sparzyć
odkażać	odkazić
naparzać	naparzyć
pleśnieć	zapleśnieć
pleśnieć	spleśnieć
psuć się	popsuć się
psuć się	zepsuć się
nastrajać	nastroić
nastawiać	nastawić
manipulować	zmanipulować
zubożać	zubożyć
zubożać	zubożyć
zsiadać	zsiąść
wsiadać	wsiąść
wznosić się	wznieść się
podnosić się	podnieść się
unosić się	unieść się
wzbijać się	wzbić się
wzlatywać	wzlecieć
wchodzić	wejść
wstępować	wstąpić
wprowadzać	wprowadzić
dosiadać	dosiąść
dosiadać się	dosiąść się
przyłączać się	przyłączyć się
konserwować	zakonserwować
dołączać	dołączyć
dołączać się	dołączyć się
dobijać	dobić
doszlusowywać	doszlusować
przystawać	przystać
szlusować	doszlusować
zabezpieczać	zabezpieczyć
ukwaszać	ukwasić
zakwaszać	zakwasić
marynować	zamarynować
wchodzić	wejść
zasalać	zasolić
peklować	zapeklować
krajać	pokrajać
dobiegać	dobiec
dolatywać	dolecieć
dopędzać	dopędzić
zalatywać	zalecieć
dobijać	dobić
dociągać	dociągnąć
dociskać się	docisnąć się
przedzierać się	przedrzeć się
dopychać się	dopchać się
przeciskać się	przecisnąć się
przebijać się	przebić się
dochodzić	dojść
dotaczać się	dotoczyć się
dolatywać	dolecieć
zalatywać	zalecieć
dopływać	dopłynąć
odpływać	odpłynąć
wpływać	wpłynąć
wypływać	wypłynąć
dociekać	dociec
mielić	umielić
mielić	zmielić
namaczać	namoczyć
nasalać	nasolić
posypywać	posypać
oprószać	oprószyć
obsypywać	obsypać
obgotowywać	obgotować
dusić	udusić
dobijać	dobić
odbijać	odbić
obtaczać	obtoczyć
wyrównywać	wyrównać
odsuwać się	odsunąć się
odpływać	odpłynąć
obtaczać	obtoczyć
porcjować	wyporcjować
siekać	posiekać
szatkować	poszatkować
doskakiwać	doskoczyć
dopadać	dopaść
przyskakiwać	przyskoczyć
smarować	posmarować
smarować	posmarować
solić	osolić
solić	posolić
przyprawiać	przyprawić
pieprzyć	popieprzyć
odskakiwać	odskoczyć
słodzić	posłodzić
odskakiwać	odskoczyć
odskakiwać	odskoczyć
strugać	ostrugać
obłuskiwać	obłuskać
złuszczać	złuszczyć
rumienić	zrumienić
przypiekać	przypiec
zaprawiać	zaprawić
zasmażać	zasmażyć
wysmażać	wysmażyć
otrzymywać	otrzymać
pozyskiwać	pozyskać
wytapiać	wytopić
wysmażać	wysmażyć
wysmażać	wysmażyć
wypacać	wypocić
pisać	napisać
wypiekać	wypiec
spalać	spalić
przypalać	przypalić
przypalać	przypalić
wypiekać	wypiec
wypiekać	wypiec
wypalać	wypalić
wycinać	wyciąć
wykrawać	wykroić
wycinać	wyciąć
wykrawać	wykroić
trzeć	zetrzeć
garnirować	ugarnirować
uatrakcyjniać	uatrakcyjnić
przystrajać	przystroić
przyozdabiać	przyozdobić
dusić	udusić
smażyć się	usmażyć się
rozciągać	rozciągnąć
doskakiwać	doskoczyć
doskakiwać	doskoczyć
pukać	puknąć
kołatać	zakołatać
dźwigać się	dźwignąć się
wydobywać się	wydobyć się
dźwigać się	dźwignąć się
odbijać się od dna	odbić się od dna
podnosić się	podnieść się
stawać na nogi	stanąć na nogi
wychodzić na prostą	wyjść na prostą
wygrzebywać się	wygrzebać się
wychodzić obronną ręką	wyjść obronną ręką
dawać sobie radę	dać sobie radę
zawzinać się	zawziąć się
ulegać	ulec
ustępować	ustąpić
oburzać	oburzyć
wzburzać	wzburzyć
druzgotać	zdruzgotać
poruszać	poruszyć
ekscytować	podekscytować
irytować	zirytować
kompromitować	skompromitować
kompromitować	skompromitować
dąć	zadąć
wykonać	wykonywać
umarzać	umorzyć
nużyć	znużyć
nudzić	znudzić
przejadać się	przejeść się
zniechęcać	zniechęcić
odstręczać	odstręczyć
odstraszać	odstraszyć
zrażać	zrazić
poniżać	poniżyć
obrażać	obrazić
znieważać	znieważyć
ubliżać	ubliżyć
dyskredytować	zdyskredytować
uwiarygodniać	uwiarygodnić
upadlać	upodlić
przygnębiać	przygnębić
rozczarowywać	rozczarować
stresować	zestresować
martwieć	zmartwieć
formować	uformować
modelować	wymodelować
rozkuwać	rozkuć
uwalniać	uwolnić
oswobadzać	oswobodzić
gibać się	gibnąć się
podsuszać	podsuszyć
podsmażać	podsmażyć
odchylać się	odchylić się
podpiekać	podpiec
opiekać	opiec
pochylać się	pochylić się
podgrzewać	podgrzać
wzmagać	wzmóc
podgrzewać	podgrzać
zaostrzać	zaostrzyć
schylać się	schylić się
