administracyjny	administracja
garmażeryjny	garmażeria
jubilerski	jubiler
jubilerski	jubiler
meblowy	mebel
mleczarski	mleczarstwo
nabiałowy	nabiał
ogrodniczy	ogrodnik
piekarniczy	piekarnictwo
rękodzielniczy	rękodzieło
tytoniowy	tytoń
tytoniowy	tytoń
warzywniczy	warzywnictwo
wędliniarski	wędliniarstwo
wikliniarski	wikliniarstwo
winiarski	winiarstwo
zabawkowy	zabawka
tulipanowy	tulipan
branżowy	branża
euroazjatycki	Azja
euroazjatycki	Europa
fenolowy	fenol
heteroseksualny	heteroseksualizm
jaszczurczy	jaszczurka
kajakowy	kajak
karmiczny	karma
monogamiczny	monogamia
monogamiczny	monogamia
plemienny	plemię
poligamiczny	poligamia
poligamiczny	poligamia
pszczelarski	pszczelarstwo
solidarystyczny	solidaryzm
wędkarski	wędkarz
wędkarski	wędkarstwo
węglowodorowy	węglowodór
żeglarski	żeglarstwo
łowiecki	łowiectwo
czarterowy	czarter
czarterowy	czarter
kątowy	kąt
rejsowy	rejs
torpedowy	torpeda
załogowy	załoga
zwiadowczy	zwiad
biblijny	Biblia
buchalteryjny	buchalteria
kondolencyjny	kondolencje
meldunkowy	meldunek
nowotestamentowy	Nowy Testament
rachunkowy	rachunek
rachunkowy	rachunek
akacjowy	akacja
bukszpanowy	bukszpan
cedrowy	cedr
chlebowy	chleb
cisowy	cis
czereśniowy	czereśnia
dwumianowy	dwumian
eukaliptusowy	eukaliptus
figowy	figa
gąbkowy	gąbka
herbaciany	herbata
hikorowy	hikora
jarzębinowy	jarzębina
jesionowy	jesion
lipowy	lipa
mirtowy	mirt
morelowy	morela
morelowy	morela
morwowy	morwa
oskrzelowy	oskrzela
pomnikowy	pomnik
pomnikowy	pomnik
poziomkowy	poziomka
sandałowy	sandałowiec
szypułkowy	szypułka
wawrzynowy	wawrzyn
wiśniowy	wiśnia
wiśniowy	wiśnia
memoriałowy	memoriał
memoriałowy	memoriał
odlotowy	odlot
pieprzowy	pieprz
pościgowy	pościg
pościgowy	pościg
migdałowy	migdał
orzechowy	orzech
owadzi	owad
pawi	paw
piwny	piwo
rybi	ryba
sarni	sarna
soczewkowy	soczewka
wroni	wrona
astmatyczny	astma
depresyjny	depresja
depresyjny	depresja
drgawkowy	drgawka
euforyczny	euforia
hipnotyczny	hipnoza
kataleptyczny	katalepsja
lękowy	lęk
letargiczny	letarg
nerwicowy	nerwica
psychopatologiczny	psychopatologia
psychotyczny	psychoza
somnambuliczny	somnambulizm
lunatyczny	lunatyzm
spinowy	spin
transowy	trans
zawałowy	zawał
zawałowy	zawał
sklerotyczny	skleroza
atomistyczny	atomizm
behawiorystyczny	behawioryzm
deontologiczny	deontologia
epistemologiczny	epistemologia
ewolucjonistyczny	ewolucjonizm
geocentryczny	geocentryzm
heliocentryczny	heliocentryzm
historiozoficzny	historiozofia
konstruktywistyczny	konstruktywizm
kosmogoniczny	kosmogonia
kosmologiczny	kosmologia
kurhanowy	kurhan
kwantowy	kwant
nominalistyczny	nominalizm
prakseologiczny	prakseologia
psychoanalityczny	psychoanaliza
sensualistyczny	sensualizm
subiektywistyczny	subiektywizm
aukcyjny	aukcja
czynszowy	czynsz
maklerski	makler
rekolekcyjny	rekolekcje
wójtowski	wójt
zborowy	zbór
wdowi	wdowa
tysiącletni	lata
korpuskularny	korpuskuła
mimetyczny	mimetyzm
neoklasyczny	neoklasycyzm
neoklasyczny	neoklasycyzm
czeladny	czeladź
mężowski	mąż
wczasowy	wczasy
osobowościowy	osobowość
armeński	Armenia
babiloński	Babilonia
babiloński	Babilon
saraceński	Saracen
smoczy	smok
homeopatyczny	homeopatia
hakerski	haker
helleński	Hellen
judeochrześcijański	chrześcijaństwo
judeochrześcijański	judaizm
judeochrześcijański	judeochrześcijanin
kolektywistyczny	kolektywizm
kreteński	Kreta
megalityczny	megalit
proletariacki	proletariat
sarmacki	Sarmata
sarmacki	Sarmata
tkankowy	tkanka
łużycki	Łużyce
daktylowy	daktyl
indonezyjski	Indonezja
kanałowy	kanał
kanałowy	kanał
kanałowy	kanał
kanałowy	kanał
kanałowy	kanał
kokosowy	kokos
komandorski	komandor
konwaliowy	konwalia
młyński	młyn
ochotniczy	ochotnik
owczy	owca
pretoriański	pretorianin
wielkanocny	Wielkanoc
balkonowy	balkon
balkonowy	balkon
dębowy	dąb
elektrolitowy	elektrolit
garażowy	garaż
mahoniowy	mahoń
materiałowy	materiał
materiałowy	materiał
tarasowy	taras
wahadłowy	wahadło
żaluzjowy	żaluzja
zapadkowy	zapadka
żywnościowy	żywność
endokrynologiczny	endokrynologia
fraktalny	fraktal
krążeniowy	krążenie
naczyniowy	naczynie
pompowy	pompa
stowarzyszeniowy	stowarzyszenie
homeostatyczny	homeostaza
hamulcowy	hamulec
hamulcowy	hamulec
hormonalny	hormon
zapłonowy	zapłon
wydechowy	wydech
wydalniczy	wydalanie
urbanistyczny	urbanistyka
termodynamiczny	termodynamika
rozejmowy	rozejm
rozbrojeniowy	rozbrojenie
równoleżnikowy	równoleżnik
równoleżnikowy	równoleżnik
równoleżnikowy	równoleżnik
przysadkowy	przysadka
prętowy	pręt
półprzewodnikowy	półprzewodnik
pasowy	pas
pasowy	pas
pasmowy	pasmo
krystalograficzny	krystalografia
korbowy	korba
kompozycyjny	kompozycja
komorowy	komora
interakcyjny	interakcja
hydrauliczny	hydraulika
gniazdowy	gniazdo
gniazdowy	gniazdo
dźwigniowy	dźwignia
dyspersyjny	dyspersja
dyspersyjny	dyspersja
choreograficzny	choreografia
antytetyczny	antyteza
łokciowy	łokieć
żuchwowy	żuchwa
skokowy	skok
piecowy	piec
piecowy	piec
paliczkowy	paliczek
palcowy	palec
obojczykowy	obojczyk
nadgarstkowy	nadgarstek
kolanowy	kolano
barkowy	bark
barkowy	barka
barkowy	bark
biodrowy	biodro
żyroskopowy	żyroskop
giroskopowy	giroskop
zaliczkowy	zaliczka
workowy	worek
workowy	worek
workowy	worek
wizyjny	wizja
wersyfikacyjny	wersyfikacja
wentylacyjny	wentylacja
teleinformatyczny	teleinformatyka
taśmowy	taśma
subwencyjny	subwencja
sonarowy	sonar
serwerowy	serwer
sensoryczny	sensor
ścianowy	ściana
ścianowy	ściana
ścianowy	ściana
rurociągowy	rurociąg
retrospektywny	retrospektywa
nawigacyjny	nawigacja
radionawigacyjny	radionawigacja
planetarny	planeta
palowy	pal
orograficzny	orografia
nazewniczy	nazewnictwo
logistyczny	logistyka
logistyczny	logistyka
licytacyjny	licytacja
kurialny	kuria
korzeniowy	korzeń
korzeniowy	korzeń
komitetowy	komitet
kolejkowy	kolejka
kolejkowy	kolejka
kastowy	kasta
funduszowy	fundusz
dyskowy	dysk
dyskowy	dysk
akcentowy	akcent
akordowy	akord
akordowy	akord
alarmowy	alarm
alarmowy	alarm
antenowy	antena
bastionowy	bastion
biometryczny	biometria
centralistyczny	centralizm
cybernetyczny	cybernetyka
dyspozytorski	dyspozytor
filarowy	filar
filarowy	filar
filarowy	filar
informatyczny	informatyka
irygacyjny	irygacja
kołowy	koło
monistyczny	monizm
napięciowy	napięcie
napięciowy	napięcie
pamięciowy	pamięć
przyporowy	przypora
przyporowy	przypora
repartycyjny	repartycja
falliczny	fallus
geometryczny	geometria
bagażowy	bagaż
fazowy	faza
metryczny	metrum
probabilistyczny	probabilistyka
probabilistyczny	probabilizm
wymiarowy	wymiar
ładunkowy	ładunek
kibicowski	kibic
małżeński	małżeństwo
małżeński	małżeństwo
kawalerski	kawaler
kawalerski	kawaler
mniszy	mnich
mnisi	mnich
mnisi	mnich
mniszy	mnich
monastyczny	monastycyzm
pokutniczy	pokutnik
płodowy	płód
zbójnicki	zbójnik
ariański	arianizm
diecezjalny	diecezja
episkopalny	episkopat
kujawski	Kujawy
maronicki	maronita
przemyski	Przemyśl
starokatolicki	starokatolicyzm
unicki	unita
brodawkowy	brodawka
brzmieniowy	brzmienie
centymetrowy	centymetr
elewacyjny	elewacja
inwersyjny	inwersja
inwersyjny	inwersja
klejowy	klej
nawierzchniowy	nawierzchnia
ozonowy	ozon
bukietowy	bukiet
obiadowy	obiad
alergologiczny	alergologia
astronautyczny	astronautyka
diabetologiczny	diabetologia
entomologiczny	entomologia
gleboznawczy	gleboznawstwo
językoznawczy	językoznawstwo
kardiologiczny	kardiologia
numizmatyczny	numizmatyka
numizmatyczny	numizmatyka
ornitologiczny	ornitologia
petrograficzny	petrografia
salezjański	salezjanin
dominikański	dominikanin
teozoficzny	teozofia
teozoficzny	teozofia
wioślarski	wioślarstwo
bazyliański	bazylianin
cysterski	cysters
augustiański	augustianin
asekuracyjny	asekuracja
astronomiczny	astronomia
futurologiczny	futurologia
krajoznawczy	krajoznawstwo
krajoznawczy	krajoznawstwo
parapsychologiczny	parapsychologia
psychotroniczny	psychotronika
reasekuracyjny	reasekuracja
faksowy	faks
klozetowy	klozet
klozetowy	klozet
kredowy	kreda
kredowy	kreda
kredowy	kreda
kreślarski	kreślarstwo
kserograficzny	kserograf
kserograficzny	kserografia
sedesowy	sedes
surfingowy	surfing
teleksowy	teleks
teleksowy	teleks
wierzycielski	wierzyciel
oczodołowy	oczodół
pochwowy	pochwa
bilionowy	bilion
ułamkowy	ułamek
czaszkowy	czaszka
dziobowy	dziób
głowowy	głowa
miliardowy	miliard
nasadowy	nasada
nasadowy	nasada
nasadowy	nasada
nasadowy	nasada
nawowy	nawa
ołtarzowy	ołtarz
ołtarzowy	ołtarz
portalowy	portal
portalowy	portal
portalowy	portal
powiekowy	powieka
prezbiterialny	prezbiterium
prezbiterialny	prezbiter
prezbiterialny	prezbiterianizm
prezbiteriański	prezbiterianizm
protestancki	protestantyzm
rufowy	rufa
strychowy	strych
szalupowy	szalupa
łodziowy	łódź
łodziowy	łódź
łuskowy	łuska
łuskowy	łuska
dachowy	dach
kasetonowy	kaseton
kratownicowy	kratownica
kratownicowy	kratownica
kratownicowy	kratownica
murowy	mur
powłokowy	powłoka
rurowy	rura
rusztowy	ruszt
rusztowy	ruszt
ryglowy	rygiel
storczykowy	storczyk
szachulcowy	szachulec
prywatnoprawny	prawo prywatne
bałwochwalczy	bałwochwalstwo
bałwochwalczy	bałwochwalca
hipochondryczny	hipochondria
lenny	lenno
lenny	lenno
obligacyjny	obligacja
obrończy	obrona
obrończy	obrona
poddańczy	poddaństwo
trybutarny	trybut
trybutarny	trybut
wielkościowy	wielkość
wielkościowy	wielkość
zakresowy	zakres
zakresowy	zakres
zakresowy	zakres
zobowiązaniowy	zobowiązanie
aliancki	aliant
bolszewicki	bolszewicy
inżynieryjny	inżynier
inżynieryjny	inżynieria
konfederacki	konfederat
konfederacki	konfederacja
kozacki	Kozak
kwarciany	kwarta
kwarciany	kwarta
desantowy	desant
powietrznodesantowy	desant
powietrznodesantowy	powietrze
buntowniczy	buntownik
buntowniczy	bunt
sojuszniczy	sojusznik
tatarski	Tatar
zaporoski	Zaporoże
cenzuralny	cenzura
antykwaryczny	antykwariat
antykwaryczny	antykwariat
frachtowy	fracht
blokowy	blok
kawowy	kawa
frachtowy	fracht
frachtowy	fracht
blokowy	blok
blokowy	blok
pragmatyczny	pragmatyka
czytelniczy	czytelnik
czytelniczy	czytelnictwo
kazachstański	Kazachstan
kleparski	Kleparz
koszycki	Koszyce
księgarski	księgarnia
loteryjny	loteria
maślany	masło
nieruchomościowy	nieruchomość
pakietowy	pakiet
paliwowy	paliwo
piwniczański	Piwniczna
czytelniczy	czytelnik
podgórski	podgórze
podgórski	Podgórze
północnoamerykański	Ameryka Północna
amortyzacyjny	amortyzacja
autostradowy	autostrada
ekspercki	ekspert
gwarancyjny	gwarancja
gwarancyjny	gwarancja
hipoteczny	hipoteka
hipoteczny	hipoteka
hipoteczny	hipoteka
parasolowy	parasol
plantatorski	plantator
poręczeniowy	poręczenie
pożyczkowy	pożyczka
premiowy	premia
premiowy	premia
stypendialny	stypendium
uchodźczy	uchodźca
uchodźczy	uchodźstwo
udziałowy	udział
zakładowy	zakład
zapomogowy	zapomoga
zasobowy	zasób
tożsamościowy	tożsamość
tożsamościowy	tożsamość
rekurencyjny	rekurencja
przywódczy	przywódca
prokreacyjny	prokreacja
potęgowy	potęga
podporowy	podpora
podporowy	podpór
mchowy	mech
kreacyjny	kreacja
hiperboliczny	hiperbola
falowy	fala
argumentacyjny	argumentacja
całkowy	całka
Puszkinowski	Puszkin
staromiejski	stare miasto
surowcowy	surowiec energetyczny
surowcowy	surowiec
walutowy	waluta
wódczany	wódka
wódkowy	wódka
wolnokonkurencyjny	wolna konkurencja
zakliczyński	Zakliczyn
zbożowy	zboże
bajkowy	bajka
bajkowy	bajka
apelowy	apel
benedyktyński	benedyktyn
benedyktyński	benedyktyni
bernardyński	bernardyn
buddyjski	buddyzm
franciszkański	franciszkanin
kamedulski	kameduła
karmelitański	karmelita
klauzurowy	klauzura
krzyżacki	krzyżak
prawosławny	prawosławie
hydrograficzny	hydrografia
kontrwywiadowczy	kontrwywiad
kuratorski	kurator
kuratorski	kurator
kuratorski	kurator
kuratorski	kurator
kwatermistrzowski	kwatermistrz
kwatermistrzowski	kwatermistrz
menstruacyjny	menstruacja
miesiączkowy	miesiączka
metrologiczny	metrologia
owulacyjny	owulacja
trałowy	trał
trałowy	trał
trałowy	trał
porządkowy	porządek
porządkowy	porządek
mundurowy	mundur
konwojowy	konwój
konwojowy	konwój
koniunkturalny	koniunktura
dozorowy	dozór
artretyczny	artretyzm
cukrzycowy	cukrzyca
dyskontowy	dyskont
dyskontowy	dyskonto
tynkowy	tynk
letniskowy	letnisko
letniskowy	letnisko
uzdrowiskowy	uzdrowisko
wójtowy	wójt
lotosowy	lotos
lotosowy	lotos
fantomowy	fantom
fantomowy	fantom
pakietowy	pakiet
hurtowy	hurt
pakietowy	pakiet
pieniężny	pieniądz
baśniowy	baśń
baśniowy	baśń
imaginacyjny	imaginacja
imaginatywny	imaginacja
makroskopowy	makroskopia
dziadowy	dziad
izraelicki	Izraelita
kuracyjny	kuracja
gęsi	gęś
harmonijkowy	harmonijka
harmonijkowy	harmonijka
hologramowy	hologram
kometarny	kometa
przysłowiowy	przysłowie
mikroskopowy	mikroskop
zoogeograficzny	zoogeografia
geograficzny	geografia
Tolkienowski	Tolkien
gorączkowy	gorączka
linijny	linia
proroczy	prorok
sofistyczny	sofistyka
tasiemcowy	tasiemiec
śluzowy	śluz
śluzowy	śluz
śluzowy	śluza
doznaniowy	doznanie
łopatkowy	łopatka
łopatkowy	łopatka
łopatkowy	łopatka
komunikacyjny	komunikacja
schizofreniczny	schizofrenia
anatomopatologiczny	anatomia patologiczna
charakterologiczny	charakterologia
florencki	Florencja
gladiatorski	gladiator
przyjazdowy	przyjazd
zwyrodnieniowy	zwyrodnienie
troficzny	trofika
terminologiczny	terminologia
systemowy	system
systemowy	system
przerostowy	przerost
pokoleniowy	pokolenie
narządowy	narząd
mutacyjny	mutacja
mutacyjny	mutacja
mutacyjny	mutacja
morfologiczny	morfologia
morfologiczny	morfologia
morfologiczny	morfologia
morfologiczny	morfologia
miażdżycowy	miażdżyca
kosmetyczny	kosmetyka
inwolucyjny	inwolucja
hemodynamiczny	hemodynamika
generacyjny	generacja
degeneracyjny	degeneracja
degeneracyjny	degeneracja
wizjonerski	wizjonerstwo
wizjonerski	wizjoner
szkicowy	szkic
minimalistyczny	minimalizm
dogmatyczny	dogmatyka
oktanowy	oktan
zenitalny	zenit
zenitowy	zenit
wyobrażeniowy	wyobrażenie
zaświatowy	zaświaty
żarski	Żary
dymny	dym
bielawski	Bielawa
kosowski	Kosowo
newski	Newa
trzebiatowski	Trzebiatów
aerozolowy	aerozol
aerozolowy	aerozol
dopingowy	doping
farmakologiczny	farmakologia
psychoterapeutyczny	psychoterapia
foniczny	fonia
halucynogenny	halucynogen
inscenizacyjny	inscenizacja
inscenizatorski	inscenizacja
napotny	pot
opatrunkowy	opatrunek
słowny	słowo
probacyjny	probacja
nowicjacki	nowicjat
przeprawowy	przeprawa
ścięgnisty	ścięgno
mięśniowy	mięsień
asymptotyczny	asymptota
gwiazdowy	gwiazda
kalkulacyjny	kalkulacja
przeliczeniowy	przeliczenie
funkcjonalny	funkcja
naturalistyczny	naturalizm
naturalistyczny	naturalizm
berliński	Berlin
kalifornijski	Kalifornia
lwowski	Lwów
stylistyczny	stylistyka
praski	Praga
rzeszowski	Rzeszów
estetyczny	estetyka
stanowy	stan
stanowy	stan
amunicyjny	amunicja
anabiotyczny	anabioza
transportowy	transport
bombowy	bomba
dekompresyjny	dekompresja
dokowy	dok
hibernacyjny	hibernacja
hibernacyjny	hibernacja
jonizacyjny	jonizacja
kondensacyjny	kondensacja
kriogeniczny	kriogenika
nabojowy	nabój
oscylacyjny	oscylacja
pęcherzykowy	pęcherzyk
pęcherzykowy	pęcherzyk
bawarski	Bawaria
legitymistyczny	legitymizm
piekarski	piekarstwo
piekarski	piekarz
siedmiogrodzki	Siedmiogród
szwabski	Szwab
insulinowy	insulina
fizjologiczny	fizjologia
genowy	gen
wymiotny	wymioty
rynnowy	rynna
rynnowy	rynna
zapachowy	zapach
janczarski	janczar
zamojski	Zamość
wrzesiński	Września
acetylenowy	acetylen
biurkowy	biurko
halogenowy	halogen
infuzyjny	infuzja
karbidowy	karbid
katodowy	katoda
anodowy	anoda
prostowniczy	prostownik
protonowy	proton
rtęciowy	rtęć
stroboskopowy	stroboskop
sufitowy	sufit
sygnałowy	sygnał
sygnalizacyjny	sygnalizacja
szczelinowy	szczelina
szlamowy	szlam
żarowy	żar
żołędziowy	żołądź
łojowy	łój
wydzielinowy	wydzielina
arkadowy	arkada
barakowy	barak
barokowy	barok
biedermeierowski	biedermeier
chrząstkowy	chrząstka
Cyceroński	Cyceron
dorycki	Dor
dworkowy	dworek
ekspresjonistyczny	ekspresjonizm
homofoniczny	homofonia
manierystyczny	manieryzm
modernistyczny	modernizm
ekwilibrystyczny	ekwilibrystyka
karatowy	karat
manifestacyjny	manifestacja
agrestowy	agrest
ananasowy	ananas
gruszkowy	gruszka
jagodowy	jagoda
jeżynowy	jeżyna
malinowy	malina
porzeczkowy	porzeczka
proteolityczny	proteoliza
trawienny	trawienie
truskawkowy	truskawka
trzustkowy	trzustka
żołądkowy	żołądek
czuciowy	czucie
grudkowy	grudka
gruźliczy	gruźlica
guzkowy	guzek
kleszczowy	kleszcz
kleszczowy	kleszcze
kleszczowy	kleszcze
kolagenowy	kolagen
krwotoczny	krwotok
martwiczy	martwica
płatowy	płat
surowiczy	surowica
syfilityczny	syfilis
wysiękowy	wysięk
wysiękowy	wysięk
zakrzepowy	zakrzep
łykowy	łyko
aerodynamiczny	aerodynamika
dociskowy	docisk
ekspedycyjny	ekspedycja
ekspedycyjny	ekspedycja
ekspedycyjny	ekspedycja
elektrodynamiczny	elektrodynamika
mesmeryczny	mesmeryzm
objętościowy	objętość
objętościowy	objętość
obliczeniowy	obliczenie
popędowy	popęd
przerobowy	przerób
pływowy	pływ
refrakcyjny	refrakcja
neogotycki	neogotyk
neoromantyczny	neoromantyzm
czasownikowy	czasownik
alotropowy	alotropia
pompejański	Pompeje
odlewniczy	odlewnik
odlewniczy	odlewnictwo
rokokowy	rokoko
socrealistyczny	socrealizm
westernowy	western
macierzyński	macierzyństwo
migrenowy	migrena
szczenięcy	szczenię
przydawkowy	przydawka
domenowy	domena
dzierżawczy	dzierżawa
gatunkowy	gatunek
geograficzny	geografia
hasłowy	hasło
kodowy	kod
okolicznikowy	okolicznik
patronimiczny	patronim
pejzażowy	pejzaż
sylabowy	sylaba
zgłoskowy	zgłoska
topograficzny	topografia
topograficzny	topografia
wykrzyknikowy	wykrzyknik
zairski	Zair
wenezuelski	Wenezuela
południowoamerykański	Ameryka Południowa
tajlandzki	Tajlandia
sudański	Sudan
somalijski	Somalia
senegalski	Senegal
rwandyjski	Rwanda
kongijski	Kongo
marsjański	Mars
dolinny	dolina
drukowy	druk
dzwonowy	dzwon
felietonowy	felieton
glacjalny	glacjał
koniugacyjny	koniugacja
kontrapunktyczny	kontrapunkt
kontrapunktyczny	kontrapunkt
kopiowy	kopiowanie
kubiczny	kubik
litanijny	litania
mieszańcowy	mieszaniec
pienny	pień
piśmienniczy	piśmiennictwo
przetrwalnikowy	przetrwalnik
przymiotnikowy	przymiotnik
przysłówkowy	przysłówek
sonatowy	sonata
wierszowy	wiersz
wierszowy	wiersz
wyrazowy	wyraz
zabawowy	zabawa
zabawowy	zabawa
zaimkowy	zaimek
awersyjny	awersja
elektrochemiczny	elektrochemia
fotochemiczny	fotochemia
galwanizacyjny	galwanizacja
idiosynkratyczny	idiosynkrazja
kinestetyczny	kinestezja
logopedyczny	logopedia
pobudzeniowy	pobudzenie
reinkarnacyjny	reinkarnacja
szokowy	szok
wstrząsowy	wstrząs
zajęciowy	zajęcia
groszowy	grosz
pocztówkowy	pocztówka
utopijny	utopia
utopijny	utopia
dystroficzny	dystrofizm
kraterowy	krater
proboszczowski	proboszcz
przepływowy	przepływ
artykulacyjny	artykulacja
artykulacyjny	artykulacja
chromosomalny	chromosom
destylacyjny	destylacja
mikrofilmowy	mikrofilm
mikrofilmowy	mikrofilm
ortodontyczny	ortodoncja
ortopedyczny	ortopeda
ortopedyczny	ortopeda
słuchowy	słuch
tranzystorowy	tranzystor
azerski	Azer
boliwijski	Boliwia
etiopski	Etiopia
filipiński	Filipiny
gwatemalski	Gwatemala
haitański	Haiti
indyjski	Indie
iracki	Irakijczyk
iracki	Irak
irański	Iran
irlandzki	Irlandczyk
irlandzki	Irlandia
izraelski	Izraelczyk
izraelski	Izrael
jordański	Jordania
kenijski	Kenia
kolumbijski	Kolumbia
kubański	Kuba
kuwejcki	Kuwejt
libijski	Libia
nepalski	Nepal
germański	Germanin
pakistański	Pakistan
paragwajski	Paragwaj
amazoński	Amazonia
zastawkowy	zastawka
gwarowy	gwara
idiomatyczny	idiom
przyimkowy	przyimek
żargonowy	żargon
albumowy	album
albumowy	album
bitowy	bit
dubbingowy	dubbing
instrumentacyjny	instrumentacja
konsolowy	konsola
lektorski	lektor
lektorski	lektor
musicalowy	musical
planszowy	plansza
przegubowy	przegub
pudełkowy	pudełko
pływakowy	pływak
reżyserski	reżyser
reżyserski	reżyseria
silnikowy	silnik
stolikowy	stolik
tekstowy	tekst
topowy	top
wyposażeniowy	wyposażenie
zręcznościowy	zręczność
czyśćcowy	czyściec
lwi	lew
akordeonowy	akordeon
chorałowy	chorał
gitarowy	gitara
klawesynowy	klawesyn
lutniowy	lutnia
opuszkowy	opuszka
wizytacyjny	wizytacja
urojeniowy	urojenie
synagogalny	synagoga
góralski	góral
jamajski	Jamajka
jazzowy	jazz
latynoski	Latynos
białowieski	Białowieża
heroinowy	heroina
knyszyński	Knyszyn
kokainowy	kokaina
kurpiowski	Kurp
narkotykowy	narkotyk
niepołomicki	Niepołomice
piski	Pisz
platerowy	plater
pruszkowski	Pruszków
tucholski	Tuchola
amurski	Amur
archangielski	Archangielsk
charkowski	Charków
czernihowski	Czernihów
doniecki	Don
drohobycki	Drohobycz
grodzieński	Grodno
irkucki	Irkuck
kaliningradzki	Kaliningrad
kijowski	Kijów
nowosybirski	Nowosybirsk
odeski	Odessa
pskowski	Psków
żytomierski	Żytomierz
riazański	Riazań
eksmisyjny	eksmisja
lokalizacyjny	lokalizacja
obiegowy	obieg
zakupowy	zakupy
abstynencyjny	abstynencja
bluesowy	blues
