administrować	administrowanie
posłuchać	posłuchanie
posłuchać	posłuchanie
posługiwać	posługiwanie
posługiwać się	posługiwanie się
posłużyć	posłużenie
posłużyć się	posłużenie się
posłyszeć	posłyszenie
potargać	potarganie
potęgować	potęgowanie
potęgować się	potęgowanie się
potrącić	potrącenie
potrafić	potrafienie
potraktować	potraktowanie
potrząsać	potrząsanie
potrzebować	potrzebowanie
potrzymać	potrzymanie
potwierdzać	potwierdzanie
poukładać	poukładanie
powątpiewać	powątpiewanie
poważać	poważanie
powetować sobie	powetowanie sobie
powiadać	powiadanie
powiadamiać	powiadamianie
powiadomić	powiadomienie
powiązać	powiązanie
powiedzieć	powiedzenie
powiedzieć na ucho	powiedzenie na ucho
powiększać	powiększanie
powiększać się	powiększanie się
powiększyć	powiększenie
powierzyć	powierzenie
powieść	powiedzenie
powiesić	powieszenie
powlec	powleczenie
powlekać	powlekanie
powodować	powodowanie
powołać	powołanie
powoływać	powoływanie
powracać	powracanie
powrócić	powrócenie
powstać	powstanie
powstawać	powstawanie
powstrzymać	powstrzymanie
powstrzymać	powstrzymanie
powstrzymywać	powstrzymywanie
powtarzać	powtarzanie
powtórzyć	powtórzenie
pożądać	pożądanie
pozbawić	pozbawienie
pozbyć się	pozbycie się
pozdrawiać	pozdrawianie
pożegnać	pożegnanie
pożegnać się	pożegnanie się
pożegnać się z życiem	pożegnanie się z życiem
pożegnać się ze światem	pożegnanie się ze światem
pożerać	pożeranie
poznać	poznanie
poznać się	poznanie się
poznawać	poznawanie
pozostać	pozostanie
pozostawać	pozostawanie
pozostawiać	pozostawianie
pozostawić	pozostawienie
pozować	pozowanie
pozwalać	pozwalanie
pozwalać	pozwalanie
pozwolić	pozwolenie
pozwolić	pozwolenie
pozyskać	pozyskanie
pozyskiwać	pozyskiwanie
pożywiać się	pożywianie się
pożywić się	pożywienie się
połączyć	połączenie
połączyć	połączenie
połknąć	połknięcie
położyć	położenie
położyć się	położenie się
połykać	połykanie
połyskiwać	połyskiwanie
pracować	pracowanie
pracować	pracowanie
pracować	pracowanie
pragnąć	pragnienie
preferować	preferowanie
prezentować	prezentowanie
prezentować	prezentowanie
prezentować się	prezentowanie się
próbować	próbowanie
próbować	próbowanie
programować	programowanie
projektować	projektowanie
prolongować	prolongowanie
promować	promowanie
proponować	proponowanie
prosić	proszenie
protestować	protestowanie
prowadzić	prowadzenie
prowadzić	prowadzenie
prowadzić	prowadzenie
prowadzić	prowadzenie
prowadzić	prowadzenie
przebaczyć	przebaczenie
przebiegać	przebieganie
przebiegać	przebieganie
przebrzmiewać	przebrzmiewanie
przebudzać się	przebudzanie się
przebudzić	przebudzenie
przebyć	przebycie
przebyć	przebycie
przebywać	przebywanie
przechodzić	przechodzenie
przechować	przechowanie
przechowywać	przechowywanie
przechowywać się	przechowywanie się
przechwycić	przechwycenie
przechwytywać	przechwytywanie
przeciągać	przeciąganie
przeciwdziałać	przeciwdziałanie
przeczekać	przeczekanie
przeczytać	przeczytanie
przeczytać	przeczytanie
przedkładać	przedkładanie
przedkładać	przedkładanie
przedostać się	przedostanie się
przedsiębrać	przedsiębranie
przedsięwziąć	przedsięwzięcie
przedstawiać	przedstawianie
przedstawiać sobie	przedstawianie sobie
przedstawiać się	przedstawianie się
przedstawić	przedstawienie
przedyskutować	przedyskutowanie
przedzielić	przedzielenie
przedzierzgać	przedzierzganie
przedzierzgnąć	przedzierzgnięcie
przedźwigać	przedźwiganie
przedłożyć	przedłożenie
przedłużać	przedłużanie
przedłużyć	przedłużenie
przeegzaminować	przeegzaminowanie
przeglądać	przeglądanie
przeglądać	przegląd
przegrać	przegranie
przegrywać	przegrywanie
przehandlować	przehandlowanie
przehandlowywać	przehandlowywanie
przejąć	przejęcie
przejechać	przejechanie
przejmować	przejmowanie
przejmować	przejmowanie
przejmować się	przejmowanie się
przejść	przejście
przekazać	przekazanie
przekazać	przekazanie
przekazywać	przekazywanie
przekazywać	przekazywanie
przekonać	przekonanie
przekonywać	przekonywanie
przekraczać	przekraczanie
przekraczać	przekraczanie
przekroczyć	przekroczenie
przekroczyć	przekroczenie
przekroczyć	przekroczenie
przekroczyć próg	przekroczenie progu
przekształcać	przekształcanie
przekształcić	przekształcenie
przekwaterowywać się	przekwaterowywanie się
przelatywać	przelatywanie
przelęknąć się	przelęknięcie się
przemawiać	przemawianie
przemieniać	przemienianie
przemienić	przemienienie
przemierzyć	przemierzenie
przemieścić	przemieszczenie
przemieścić się	przemieszczenie się
przemieszczać się	przemieszczanie się
przemówić	przemówienie
przemówić do rozsądku	przemówienie do rozsądku
przemówić do rozumu	przemówienie do rozumu
przemyśleć	przemyślenie
przenieść	przeniesienie
przenieść się	przeniesienie się
przenieść się do lepszego świata	przeniesienie się do lepszego świata
przenieść się do wieczności	przeniesienie się do wieczności
przenieść się na tamten świat	przeniesienie się na tamten świat
przenieść się na łono Abrahama	przeniesienie się na łono Abrahama
przeniknąć	przeniknięcie
przenosić	przenoszenie
przenosić się	przenoszenie się
przeobrażać	przeobrażanie
przeobrazić	przeobrażenie
przepełniać	przepełnianie
przepełnić	przepełnienie
przepisać	przepisanie
przepowiadać	przepowiadanie
przepowiedzieć	przepowiedzenie
przepraszać	przepraszanie
przeprawiać się	przeprawianie się
przeprowadzać	przeprowadzanie
przeprowadzać się	przeprowadzanie się
przeprowadzić	przeprowadzenie
przepuścić	przepuszczenie
przepuszczać	przepuszczanie
przepytać	przepytanie
przepytywać	przepytywanie
przerażać	przerażanie
przerazić	przerażenie
przerwać	przerwanie
przerwać	przerwanie
przerwać	przerwanie
przerywać	przerywanie
przerywać	przerywanie
przestać	przestanie
przestawać	przestawanie
przestępować	przestępowanie
przestraszyć	przestraszenie
przestraszyć się	przestraszenie się
przestrzegać	przestrzeganie
przestrzegać	przestrzeganie
przesunąć	przesunięcie
przesuwać	przesuwanie
przesyłać	przesyłanie
przeszkadzać	przeszkadzanie
przeszkadzać	przeszkadzanie
przesłać	przesłanie
przesłuchać	przesłuchanie
przesłuchać	przesłuchanie
przesłuchiwać	przesłuchiwanie
przesłuchiwać	przesłuchiwanie
przetaczać	przetaczanie
przetrwać	przetrwanie
przetrzymać	przetrzymanie
przeważać	przeważanie
przeważać	przeważanie
przewidywać	przewidywanie
przewidzieć	przewidzenie
przewieźć	przewiezienie
przewodniczyć	przewodniczenie
przewodzić	przewodzenie
przewozić	przewożenie
przewyższać	przewyższanie
przeznaczać	przeznaczanie
przeznaczyć	przeznaczenie
przeżyć	przeżycie
przeżywać	przeżywanie
przełamać	przełamanie
przełamywać	przełamywanie
przełożyć	przełożenie
przodować	przodowanie
przybliżać	przybliżanie
przybliżać się	przybliżanie się
przybliżyć się	przybliżenie się
przybrać	przybranie
przybyć	przybycie
przybywać	przybywanie
przychodzić	przychodzenie
przychylić się	przychylenie się
przyciągać	przyciąganie
przycisnąć	przyciśnięcie
przyczynić się	przyczynienie się
przydać się	przydanie się
przydzielać	przydzielanie
przydzielić	przydzielenie
przydźwigać	przydźwiganie
przyganiać	przyganianie
przyglądać się	przyglądanie się
przygotować	przygotowanie
przygotowywać	przygotowywanie
przyhamować	przyhamowanie
przyjąć	przyjęcie
przyjąć	przyjęcie
przyjąć	przyjęcie
przyjechać	przyjechanie
przyjeżdżać	przyjeżdżanie
przyjmować	przyjmowanie
przyjmować	przyjmowanie
przyjmować	przyjmowanie
przyjmować	przyjmowanie
przyjrzeć się	przyjrzenie się
przyjść	przyjście
przyjść na świat	przyjście na świat
przykazać	przykazanie
przykrywać	przykrywanie
przymuszać	przymuszanie
przynależeć	przynależenie
przynęcać	przynęcanie
przynieść	przyniesienie
przynosić	przynoszenie
przyobiecać	przyobiecanie
przyobiecywać	przyobiecywanie
przyodziać	przyodzianie
przyozdobić	przyozdobienie
przypadać	przypadanie
przypadać do gustu	przypadanie do gustu
przypaść	przypadnięcie
przypaść do gustu	przypadnięcie do gustu
przypatrywać się	przypatrywanie się
przypatrzyć się	przypatrzenie się
przypominać	przypominanie
przypominać	przypominanie
przypominać	przypominanie
przypomnieć	przypomnienie
przypomnieć się	przypomnienie się
przyprowadzać	przyprowadzanie
przyprowadzić	przyprowadzenie
przypuszczać	przypuszczanie
przyrównać	przyrównanie
przyrównywać	przyrównywanie
przyrzec	przyrzeknięcie
przyrzekać	przyrzekanie
przyspieszyć	przyspieszenie
przyspieszyć kroku	przyspieszenie kroku
przystać	przystanie
przystać	przystanie
przystąpić	przystąpienie
przystąpić	przystąpienie
przystąpić	przystąpienie
przystawać	przystawanie
przystawać	przystawanie
przystępować	przystępowanie
przysłać	przysłanie
przysłuchiwać się	przysłuchiwanie się
przysługiwać	przysługiwanie
przytaczać	przytaczanie
przytoczyć	przytoczenie
przytrafić się	przytrafienie się
przyuczyć	przyuczenie
przywabiać	przywabianie
przywieźć	przywiezienie
przywołać	przywołanie
przywoływać	przywoływanie
przywrócić	przywrócenie
przywyknąć	przywyknięcie
przyznać	przyznanie
przyznać	przyznanie
przyznać	przyznanie
przyznawać	przyznawanie
przyznawać	przyznawanie
przyznawać się	przyznawanie się
przyzwalać	przyzwalanie
przyzwolić	przyzwolenie
przyzwyczaić	przyzwyczajenie
przyzwyczaić się	przyzwyczajenie się
przyzywać	przyzywanie
przyłączyć	przyłączenie
przyłączyć się	przyłączenie się
psuć	psucie
psuć krew	psucie krwi
pulsować	pulsowanie
punktować	punktowanie
puścić	puszczenie
puścić farbę	puszczenie farby
puścić płazem	puszczenie płazem
puścić z dymem	puszczenie z dymem
puszczać	puszczanie
pytać	pytanie
pytlować	pytlowanie
płacić	płacenie
płakać	płakanie
płonąć	płonięcie
płynąć	płynięcie
płynąć	płynięcie
pływać	pływanie
rabować	rabowanie
rachować	rachowanie
raczyć się	raczenie się
radować się	radowanie się
radzić	radzenie
ratować	ratowanie
reagować	reagowanie
realizować	realizowanie
realizować	realizacja
rechotać	rechotanie
ręczyć	ręczenie
regulować	regulowanie
rejestrować	rejestrowanie
reklamować	reklamowanie
rekomendować	rekomendowanie
rekomendować	rekomendacja
relacjonować	relacjonowanie
replikować	replikowanie
reprezentować	reprezentowanie
rezydować	rezydowanie
rezygnować	rezygnowanie
roić	rojenie
ronić łzy	ronienie łez
rosnąć	rośnięcie
rozbić	rozbicie
rozbrzmieć	rozbrzmienie
rozbudzać	rozbudzanie
rozbudzać	rozbudzanie
rozbudzać się	rozbudzanie się
rozbudzić	rozbudzenie
rozbudzić	rozbudzenie
rozchylać się	rozchylanie się
rozchylić się	rozchylenie się
rozczarować się	rozczarowanie się
rozczulić	rozczulenie
rozczulić się	rozczulenie się
rozczłonkować	rozczłonkowanie
rozdawać	rozdawanie
rozdysponować	rozdysponowanie
rozdzielić	rozdzielenie
rozegrać	rozegranie
rozerwać	rozerwanie
rozerwać się	rozerwanie się
rozewrzeć	rozwarcie
rozeznać	rozeznanie
rozeznać się	rozeznanie się
rozeznawać	rozeznawanie
rozglądać się	rozglądanie się
rozgrywać	rozgrywanie
rozgrywać	rozgrywanie
rozkazać	rozkazanie
rozkazywać	rozkazywanie
rozkleić się	rozklejenie się
rozkradać	rozkradanie
rozlec się	rozlegnięcie się
rozmawiać	rozmawianie
rozmyślać	rozmyślanie
różnić się	różnienie się
rozpamiętywać	rozpamiętywanie
rozpatrywać	rozpatrywanie
rozpatrzeć	rozpatrzenie
rozplanować	rozplanowanie
rozplanowywać	rozplanowywanie
rozpocząć	rozpoczęcie
rozpoczynać	rozpoczynanie
rozporządzać	rozporządzanie
rozporządzać	rozporządzanie
rozporządzić	rozporządzenie
rozpostrzeć	rozpostarcie
rozpoznać	rozpoznanie
rozpoznawać	rozpoznawanie
rozprzestrzenić się	rozprzestrzenienie się
rozpływać się	rozpływanie się
rozradować	rozradowanie
rozradować się	rozradowanie się
rozrzewnić	rozrzewnienie
rozrzewnić się	rozrzewnienie się
rozstać się	rozstanie się
rozstać się z życiem	rozstanie się z życiem
rozstawać się	rozstawanie się
rozstrzygać	rozstrzyganie
rozstrzygać	rozstrzyganie
rozstrzygnąć	rozstrzygnięcie
rozsupłać	rozsupłanie
rozszarpać	rozszarpanie
rozszarpywać	rozszarpywanie
rozszerzyć	rozszerzenie
rozszerzyć się	rozszerzenie się
rozsznurować	rozsznurowanie
rozsznurowywać	rozsznurowywanie
rozszyfrować	rozszyfrowanie
roztkliwić	roztkliwienie
roztkliwić się	roztkliwienie się
roztrwonić	roztrwonienie
roztrzaskać	roztrzaskanie
roztłuc	roztłuczenie
rozumieć	rozumienie
rozumować	rozumowanie
rozważać	rozważanie
rozważyć	rozważenie
rozwiązać	rozwiązanie
rozwiązać	rozwiązanie
rozwiązywać	rozwiązywanie
rozwiązywać	rozwiązywanie
rozwierać	rozwieranie
rozwijać	rozwijanie
rozwijać się	rozwijanie się
rozwijać się	rozwijanie się
rozwikłać	rozwikłanie
rozwinąć się	rozwinięcie się
rozłamywać	rozłamywanie
rozłożyć	rozłożenie
ruszać	ruszanie
ruszać	ruszanie
ruszyć	ruszenie
ruszyć się	ruszenie się
rwać	rwanie
rwać	rwanie
rywalizować	rywalizacja
rywalizować	rywalizowanie
rządzić	rządzenie
rzec	rzeknięcie
rzucać	rzucanie
rzucać	rzucanie
rzucać kłody pod nogi	rzucanie kłód pod nogi
rzucać się	rzucanie się
rzucić	rzucenie
rzucić	rzucenie
rzucić się	rzucenie się
rzutować	rzutowanie
sadowić się	sadowienie się
sądzić	sądzenie
sądzić	sądzenie
sarkać	sarkanie
schlebiać	schlebianie
schlebić	schlebienie
schodzić	schodzenie
schować	schowanie
schować się	schowanie się
schować się	schowanie się
schwycić	schwycenie
schwytać	schwytanie
schylić się	schylenie się
ściągać	ściąganie
ściągać	ściąganie
ściągać	ściąganie
ściągnąć	ściągnięcie
ściekać	ściekanie
ścigać	ściganie
ścigać się	ściganie się
sędziować	sędziowanie
sekundować	sekundowanie
selekcjonować	selekcjonowanie
sfinalizować	sfinalizowanie
sfinansować	sfinansowanie
sformułować	sformułowanie
siadać	siadanie
siąść	siądnięcie
siedzieć	siedzenie
sięgać	sięganie
sięgać	sięganie
sięgnąć	sięgnięcie
skakać	skakanie
skapitulować	skapitulowanie
skarać	skaranie
skarżyć się	skarżenie się
skazać	skazanie
skierować	skierowanie
skierować	skierowanie
skierować się	skierowanie się
skierowywać	skierowywanie
skoczyć	skoczenie
skojarzyć	skojarzenie
skombinować	skombinowanie
skomponować	skomponowanie
skonać	skonanie
skoncentrować się	skoncentrowanie się
skończyć	skończenie
skończyć się	skończenie się
skonfrontować	skonfrontowanie
skonsumować	skonsumowanie
skorzystać	skorzystanie
skraść	skradzenie
skręcać	skręcanie
skręcać się	skręcanie się
skrępować	skrępowanie
skrócić	skrócenie
skryć	skrycie
skryć się	skrycie się
skryć się	skrycie się
skrywać	skrywanie
skrywać	skrywanie
skrywać się	skrywanie się
skupiać się	skupianie się
skupić	skupienie
skupić się	skupienie się
składać pocałunek	składanie pocałunku
składać	składanie
składać	składanie
składać	składanie
składać broń	składanie broni
składać podziękowanie	składanie podziękowania
składać przeprosiny	składanie przeprosin
składać reklamację	składanie reklamacji
składać urząd	składanie urzędu
składać zeznanie	składanie zeznań
składać życzenia	składanie życzeń
składować	składowanie
śledzić	śledzenie
smakować	smakowanie
śmiać się	śmianie się
śmierdzieć	śmierdzenie
śmieszyć	śmieszenie
smucić	smucenie
smucić się	smucenie się
śnić	śnienie
snuć wspomnienia	snucie wspomnień
snuć	snucie
snuć się	snucie się
spać	spanie
spadać	spadanie
spalać się	spalanie się
spalić	spalenie
spaść	spadnięcie
spasować	spasowanie
spędzać	spędzanie
spędzić	spędzenie
spędzić	spędzenie
spełniać	spełnianie
spełniać się	spełnianie się
spełnić	spełnienie
spełnić się	spełnienie się
śpieszyć	śpieszenie
spieszyć się	spieszenie się
śpiewać	śpiewanie
spleść	splecenie
spoczywać	spoczywanie
spodobać się	spodobanie się
spodziewać się	spodziewanie się
spoglądać	spoglądanie
spojrzeć	spojrzenie
spostrzec	spostrzeżenie
spotęgować	spotęgowanie
spotkać	spotkanie
spotkać się	spotkanie się
spowalniać	spowalnianie
spoważnieć	spoważnienie
spowodować _DZIAŁANIE DK_	spowodowanie _DZIAŁANIE DK_
spowolnić	spowolnienie
spowolnić	spowolnienie
spozierać	spozieranie
spożyć	spożycie
spożywać	spożywanie
sprawiać	sprawianie
sprawiać się	sprawianie się
sprawić	sprawienie
sprawować	sprawowanie
sprawować się	sprawowanie się
spróbować	spróbowanie
sprolongować	sprolongowanie
sprowadzać	sprowadzanie
sprowadzać się	sprowadzanie się
sprowadzić	sprowadzenie
sprowokować	sprowokowanie
sprzeciwiać się	sprzeciwianie się
sprzedać	sprzedanie
sprzedawać	sprzedawanie
sprzyjać	sprzyjanie
spytać	spytanie
spływać	spływanie
stać	stanie
stać po stronie	stanie stronie
stać się	stanie się
stanąć	stanięcie
stanowić	stanowienie
starać się	staranie się
starać się	staranie się
starczać	starczanie
startować	startowanie
stawać	stawanie
stawać się	stawanie się
stawiać	stawianie
stawiać	stawianie
stawiać wniosek	stawianie wniosku
stawić się	stawienie się
stchórzyć	stchórzenie
sterować	sterowanie
