trzmiel	trzmiele i trzmielce|trzmiele
złotokap|złotodeszcz	bobowate właściwe|motylkowate właściwe
modraszek	modraszki
gadożer|gadożer zwyczajny|krótkoszpon	gadożery
kazarka	kazarki
krzyżodziób	łuskacze
nawałnik	nawałniki
pleszka|pleszka zwyczajna	kląskawki
potrzeszcz	trznadle
pustułka|pustułka zwyczajna|sokół pustułka	sokoły
raniuszek|raniuszek zwyczajny	raniuszki
stepówka	stepówki|stepówkowate
świstunka	świstunki
piecuszek	świstunki
pierwiosnek zwyczajny|pierwiosnek	świstunki
wydrzyk	wydrzyki
żołna	żołny
łątka	łątkowate
kobczyk|kobczyk zwyczajny	sokoły
raróg|raróg zwyczajny	sokoły
jeżogłówka	pałkowate
jeżogłówka	jeżogłówkowate
kokorycz	makowate
kokorycz	dymnicowate
kokorycz zimozielona	makowate
kokoryczka	szparagowate
kuklik	różowate
kłoć	ciborowate|turzycowate
lepiężnik	astrowate|złożone
ciecierzyca	bobowate właściwe|motylkowate właściwe
roślina motylkowa	bobowate|motylkowate
łubin	bobowate właściwe|motylkowate właściwe
wyka	bobowate właściwe|motylkowate właściwe
ostryż|kurkuma|szafranica|żółcień	imbirowate
muszkatołowiec	muszkatołowcowate|muszkatowcowate
diugoń|dugoń|piersiopławka	diugoniowate|diugonie
syrena	syreny|nozdrzaki
humbak|długopłetwiec	fałdowce
maranta	marantowate
dziwonia|dziwonia zwyczajna	łuskacze
edredon|miękkopiór	tracze
gągoł|gągoł krzykliwy	tracze
świstun|świstun zwyczajny|świstuła	kaczki właściwe
słonka|słonka zwyczajna	słonki
wąsatka	wąsatki
warzucha	kapustowate|krzyżowe
miodownik	jasnotowate|wargowe
modrzewnica|modrzewica	wrzosowate
omieg	astrowate|złożone
parzydło	różowate
perłówka	wiechlinowate|trawy
pełnik	jaskrowate
podkolan	storczykowe
poryblin	poryblinowate
pszeniec	zarazowate
płonnik	płonnikowate
rogatek	rogatkowate
rojnik	gruboszowate
rojnik morfeusz	powszelatkowate|karłątkowate|warcabnikowate
rzepicha	kapustowate|krzyżowe
salwinia|wiąśl	salwiniowate|wiąślowate
smagliczka	kapustowate|krzyżowe
szczaw	rdestowate
szczyr	wilczomleczowate
tojeść	pierwiosnkowate
traganek	bobowate właściwe|motylkowate właściwe
trzcinnik|wąż trzcinowy	wielopłetwcowate
trzcinnik	wiechlinowate|trawy
wierzbownica	wiesiołkowate
wywłócznik	wodnikowate
żabieniec	żabieńcowate
żabiściek	żabiściekowate
złoć	liliowate
szczur wodny|karczownik|karczownik ziemnowodny|polnik ziemnowodny	nornikowate
piżmowiec	piżmowcowate|piżmowce
mangusta|ichneumon	mangustowate|ichneumony
lawsonia|krzew hennowy|turecznia	krwawnicowate
klejówka	klejówkowate
kapibara	kapibarowate
koszatka	popielicowate|pilchowate
orzesznica	popielicowate|pilchowate
orzesznica wyniosła|orzesznica brazylijska|orzech amerykański|orzech brazylijski|bertolecja	czaszniowate
ropucha paskówka	ropuchowate|ropuchy właściwe
rzęsorek mniejszy	ryjówkowate|sorki
rzęsorek rzeczek	ryjówkowate|sorki
scynk	scynkowate|scynki|śligi
ryjówka|sorek	ryjówkowate|sorki
zębiełek białawy	zębiełki
zębiełek karliczek	zębiełki
zębiełek myszaty	zębiełki
kret|kret europejski	kretowate
kret szczotkoogoniasty	kretowate
nocek	mroczkowate
mroczek	mroczkowate
karlik	mroczkowate
gacek	mroczkowate
mopek	mroczkowate
suseł	susły i świszcze
świstak|świstak alpejski	wiewiórkowate
piżmak|piżmak amerykański|piżmoszczur|szczur piżmowy	nornikowate
darniówka	nornikowate
nornik północny|polnik północny	nornikowate
nornik bury|polnik bury	nornikowate
nornik zwyczajny|nornik polny|polnik	nornikowate
bobroszczur	bobroszczury
smużka leśna	skoczkowate
smużka stepowa	skoczkowate
skoczek azjatycki	skoczkowate
skoczek grzebykopalcy	skoczkowate
skoczek długouchy	skoczkowate
żołędnica	popielicowate|pilchowate
wieloryb grenlandzki|wal grenlandzki	wieloryby gładkoskóre|wale gładkoskóre|wieloryby właściwe
wieloryb biskajski południowy|wal biskajski południowy	wieloryby gładkoskóre|wale gładkoskóre|wieloryby właściwe
wieloryb biskajski|wal biskajski	wieloryby gładkoskóre|wale gładkoskóre|wieloryby właściwe
pływacz szary|wal szary	pływaczowate
kola	zatwarowate
kola	ślazowate|malwowate
belemnit	belemnity
brunatnica	brunatnice
chrabąszcz	chrabąszczowate
graptolit	graptolity
karaczan	karaczany|hełmce
korzenionóżka	korzenionóżki
mączlik	piersiodziobe
małżoraczek	małżoraczki
mozazaur	mozazaury
mrównik|prosię ziemne	mrównikowate
łożyskowiec|ssak łożyskowy	ssaki wyższe|ssaki właściwe|łożyskowce
mszywioł	mszywioły
mszywioł	wtórnojamowce
owodniowiec	owodniowce
parzydełkowiec	parzydełkowce
promieniowiec	promieniowce
przędziorek	przędziorkowate
skąposzczet	skąposzczety
śluzowiec	śluzowce|śluzorośla
stułbiopław	stułbiopławy
szarańczak	krótkoczułkie|szarańczaki|krótkoczułkowe
turkuć podjadek|turkuć pospolity	turkuciowate|turkucie
widłonóg	widłonogi
drobnołuszczak|łuskowiec	drobnołuszczakowate|łuskowcowate
łuskowiec|łuskowiec zwyczajny	łuskacze
ślepak	bąkowate|bąki|ślepaki
barczatka	barczatkowate
orłosęp|orłosęp brodaty	orłosępy
kardynał szkarłatny	kardynały
biedrzeniec	selerowate|baldaszkowate
dymnica	dymnicowate
dymnica	makowate
gorysz	selerowate|baldaszkowate
hyzop|hizop	jasnotowate|wargowe
kocanka	astrowate|złożone
kozieradka	bobowate właściwe|motylkowate właściwe
mącznica	wrzosowate
ogórecznik	ogórecznikowate|szorstkolistne
poziewnik	jasnotowate|wargowe
rzepik	różowate
przestęp	dyniowate
wrotycz	astrowate|złożone
latimeria	latimeriokształtne
maślak	maślakowate
opieńka	obrzękowcowate
błotniarka	błotniarkowate
firletka	goździkowate
języcznik|skolopendrium	zanokcicowate
kanianka	powojowate
komonica	bobowate właściwe|motylkowate właściwe
mietlica	wiechlinowate|trawy
mrówkolew	mrówkolwowate|mrówkolwy
lnica	babkowate
mahoniowiec|mahoń	meliowate|miodlowate
świdrzyk	świdrzykowate|świdrzyki
obuwik	obuwikowe
skolopendra	skolopendry|skolopendrokształtne
kukuczka	storczykowe
pszonak	kapustowate|krzyżowe
wachlarzowiec|flagowiec	flagowcowate
gwiazdosz|promiennik|promieniak|geaster	gwiazdoszowce
wścieklica zwyczajna|wścieklica	wścieklice
wścieklica dorodna	wścieklice
wścieklica Sabuleta	wścieklice
hurtnica	mrówkowate
cynia|cynka|jakobinka	astrowate|złożone
floks|płomyk	wielosiłowate
frezja	kosaćcowate
dalia|georginia	astrowate|złożone
lewkonia	kapustowate|krzyżowe
ostróżka	jaskrowate
pokrzewka cierniówka|cierniówka	pokrzewkowate|gajówki|pokrzewki
pokrzewka ogrodowa|gajówka	pokrzewkowate|gajówki|pokrzewki
pluskolec|grzbietopławek	pluskolcowate
portulaka	portulakowate
rogownica	goździkowate
roszponka|roszpunka	kozłkowate
skójka	skójkowate
szafirek	szparagowate
szafirek	hiacyntowate
widłoząb	widłozębowate
zasłonak|guzotrzonowiec|gąska|zasłoniak|skórzak|flegmiak|modrzaczek|śluzak|tłustocha|wodniak	zasłonakowate
zostera|tasiemnica	zosterowate
nektarnik szkarłatny|nektarnik senegalski	nektarniki
nektarnik żółtoboczny	nektarniki
nektarnik królewski	nektarniki
nektarnik ciemnogardły	nektarniki
nektarnik stalowy	nektarniki
nektarnik miedziany	nektarniki
nanercz zachodni|orzech cashew|nerkowiec zachodni|nerkowiec|orzech nanerczowy	nanerczowate
aster	astrowate|złożone
dzioborożec	dzioborożce
diplodok	diplodoki
widelnica	widelnice
strumycznik	strumycznikowate|strumyczniki
glicynia|wisteria|wistaria|słodlin	bobowate właściwe|motylkowate właściwe
glistnik	makowate
gnidosz	zarazowate
brachiozaur|brachiosaurus	brachiozaury
brodaczka	tarczownicowate
ceratozaur	ceratozaury
chrobotek	chrobotkowate
ustniczek francuzik	pomakantowate|ustniczkowate
ślazówka	ślazowate|malwowate
słodyszek	chrząszcze wielożerne
szczudłak|szczudłak zwyczajny	szczudłonogi|szczudłakowate
ciemiernik	jaskrowate
miłka	wiechlinowate|trawy
mącznik	czarnuchowate|mączniki
oczlik	oczliki
słonik	ryjkowcowate
pałeczka dżumy	enterobakterie
pałecznik|palecznik	krępieniowate
tarczeń|peltandra	obrazkowate
wyjec	wyjce
kasja|senes|strączyniec	brezylkowe|brezylkowate
jaskier	jaskrowate
sieciarka	sieciarki|sieciarki właściwe
żeń-szeń|gin-seng|ginseng|wszechlek	araliowate
cieszynianka	selerowate|baldaszkowate
paszczak	paszczaki
przeziernik	przeziernikowate
kalong|pies latający	rudawkowate
włócznik modroczelny	kolibry
pustelnik spiżowy	pustelniki
koliberek czarnobrody	kolibry
storczyk	storczykowe
żmijowiec	ogórecznikowate|szorstkolistne
tęgoskór	tęgoskórowate
mleczaj	gołąbkowate
porcelanka	porcelanki
lak	kapustowate|krzyżowe
trybula	selerowate|baldaszkowate
aminek	selerowate|baldaszkowate
strzykwa	strzykwy
kirysek karłowaty	kiryskowate|sumikowate|kryski
wiciokrzew|suchodrzew	przewiertniowate
wiertka złotawa|wiertka	gąbki pospolite|gąbki zwyczajne|gąbki różnoszkieletowe|gąbki niewapienne
niedźwiedziówka	niedźwiedziówkowate
brodziec paczulka|paczulka wonna|paczula|koleus|paczulka	jasnotowate|wargowe
peonia|piwonia	piwoniowate
strofant wdzięczny|skrętnik wdzięczny	toinowate
przypłaszczek	bogatkowate
złotorost	złotorostowate
dzwonek|kampanula	dzwonkowate
puzanek	śledziowate
grzbietoród	grzbietorodowate|żaby bezjęzyczne|bezjęzykowe|grzbietorody
bakteria brodawkowa|bakteria korzeniowa	bakterie azotowe|bakterie diazotroficzne
bakteria brodawkowa|bakteria korzeniowa	alfaproteobakterie|α-proteobakterie
azotobakter	gammaproteobakterie
azotobakter	bakterie azotowe|bakterie diazotroficzne
kanarecznik|drzewo kanarkowe|komiężnik	osoczynowate
ambystoma	ambystomowate|ambystomy|poprzecznozębne
trzykrotka|tradeskancja	komelinowate
grabołusk|pestkojad|grubodziób zwyczajny|grubodziób	łuskacze
myszopłoch|ruszczyk	szparagowate
rybaczek srokaty|zimorodek srokaty	rybaczki
ptaszor|ryba latająca|ptaszor jaskółczy	ptaszorowate|ptaszory|ryby latające
kalamit|kalamaria	kalamity|kalamitowate
kropidło	selerowate|baldaszkowate
wyżpin jagodowy	goździkowate
mahonia|ościał	berberysowate
gromada	typ
klasa	typ
klasa	gromada
infrarząd	rząd
rodzina	rząd
plemię	rodzina
podplemię	plemię
podstawczak|grzyb podstawkowy	podstawczaki|grzyby podstawkowe
pieczarniak	pieczarniaki
koralówka|gałęziak	siatkolistowate
koralówka arlekin|wąż koralowy arlekin	zdradnicowate
szablodziób|szablodziób zwyczajny	szczudłonogi|szczudłakowate
orka karłowata|orka fałszywa|szablogrzbiet	delfinowate|delfiny oceaniczne
oczar	oczarowate
czarcikęs	szczeciowate
klonik|zaślaz	ślazowate|malwowate
białoczółka	buszówkowate
zakliniec	jelonkowate
cystoid|pęcherzowiec	pęcherzowce|cystoidy
skrętnik	ostrojowate
włośnica	wiechlinowate|trawy
aguti	agutiowate
świnka morska	marowate
poświerka czarnobrzucha	poświerki
poświerka płowa	poświerki
poświerka preriowa	poświerki
poświerka zwyczajna|poświerka szponiasta|poświerka	poświerki
lulek	psiankowate
strojnik|ryba księżycowa	strojnikowate
róża stulistna|centyfolia	dzikie róże
mangostan	kluzjowate
piżmaczek	piżmaczkowate
szczawik	szczawikowate
borówka	wrzosowate
alpinia	imbirowate
koleń|koleń pospolity	koleniowate
kozibród	astrowate|złożone
osoka	żabiściekowate
rohatyniec nosorożec|rohatyniec garbarz|nosoróg	rohatyńcowate
sierpnica	selerowate|baldaszkowate
esparceta|sparceta	bobowate właściwe|motylkowate właściwe
mrówka faraona	wścieklice
głuszek|trznadel głuszek	trznadle
uhla|uhla zwyczajna	tracze
tobołek polny	tobołki polne
kuandu|koendu	ursonowate|nadrzewne jeżozwierze
driopitek	driopiteki|dromorfy
wojsiłka	wojsiłkowate
zatoczek	zatoczkowate
łuszczak indygo|łuszczyk indygowy	kardynały
łuszczak	pierścieniakowate
wiesiołek	wiesiołkowate
sówka|nocnicówka	sówkowate|sówki
topik	topikowate
kocimiętka	jasnotowate|wargowe
płatkonóg	słonki
lenek|radiola	lnowate
trojeść	toinowate
trukwa|gąbczak	dyniowate
passiflora|męczennica	męczennicowate
awokado|avocado|smaczliwka	wawrzynowate|laurowate
aktinidia	aktinidiowate
kiwi	kiwi
jezierza	żabiściekowate
funkia|hosta|ślubojawka	agawowe
funkia|hosta|ślubojawka	agawowate
lemur katta	lemurowate|lemury
mamilaria|wymion	kaktusowate
kamusznik czarnogłowy	słonki
omacnica	omacnicowate
oman	astrowate|złożone
sierpik	astrowate|złożone
aralia|dzięgława	araliowate
cefal|cefal pospolity|łoban|mugil cefal	cefalowate|mugilowate
dzikie wino|winobluszcz	winoroślowate
klarkia|godecja|marszawa|dzierotka	wiesiołkowate
grzebacz	grzebaczowate
zwójka	zwójkowate|zwójki
żachwa	żachwy
gołek	storczykowe
marchołt	czarnuchowate|mączniki
pleśniak	pleśniakowce
przymiotno	astrowate|złożone
pteranodon	pteranodonty|pteranodony
skoczek	szarańczowate
jagodlin	flaszowcowate
parecznik	pareczniki
meningokok|dwoinka zapalenia opon mózgowych	betaproteobakterie
piórolotek	piórolotkowate
kulbin|orłoryb	kulbinowate|orłoryby|scjeny
kulczyk	łuskacze
polatucha|wiewiórka latająca	polatuchy
kokornak	kokornakowate
hoacyn|kośnik czubaty|kośnik	hoacyny
żebropław	żebropławy|bezparzydełkowce
żerdzianka	kózkowate
żółwiak	żółwiakowate|żółwiaki|żółwie trójpazurzaste
pawica atlas	pawicowate
krowieńczak	żukowate|poświętnikowate
krowiziół zbożowy	goździkowate
bruzdnica	bruzdnice
łączeń	łączniowate
zawisak	zawisakowate|zmierzchnikowate
dynia	dyniowate
derkacz|derkacz zwyczajny|chruściel	chruściele|chruścielowate|wodniki
iglica	bodziszkowate
konietlica	owsowe
babka	babkowate|babki
babka	babkowate
meszka|mustyk	meszkowate|meszki
trachodon	lambeozaury
złotowłos|złotogłów|asfodel	złotogłowowe|asfodelowate|złotogłowowate
sandałowiec|drzewo sandałowe	sandałowcowate
strelicja	strelicjowate
płomiennica|zimówka|kółkorodek|monetka	obrzękowcowate
amfisbena	amfisbeny|obrączkowce|zwitniki
heloderma	helodermowate
czworolist	melantkowate
gnieźnik	epidendronowe
gółka|gołka	storczykowe
kopytnik	kokornakowate
nerecznica|narecznica	nerecznicowate
pióropusznik	paprotkowce|paprotnikowce
biegacz	biegaczowate
sromotnik|słupiak|sromotnica	sromotnikowate
wawrzynek	wawrzynkowate
zimoziół	zimoziołowate
żłobik	epidendronowe
szweja|piekielnica|bystrzanka	karpiowate
jastrzębiec	astrowate|złożone
kapturnik	kapturnikowate
ortolan|trznadel ortolan	trznadle
piegża|pokrzewka piegża|piegża zwyczajna|gajówka piegża	pokrzewkowate|gajówki|pokrzewki
podrzeń	podrzeniowate
pokląskwa	kląskawki
prosienicznik	astrowate|złożone
żebrowiec	selerowate|baldaszkowate
niekropień|adiantum|złotowłos	orliczkowate|adiantowate
karbieniec	jasnotowate|wargowe
krwawnica	krwawnicowate
siedmiopalecznik	różowate
wąkrota	araliowate
obunóg	obunogi
krwiściąg	różowate
megaterium	leniwcowate|leniwce trójpalczaste
wymiotnica|ipekakuana	marzanowate
żółtnica	morwowate
bąkojad	bąkojady
tęczowiec|wąż ziemny	tęczowcowate|węże ziemne
tygrzyk	krzyżakowate
lotokot malajski	lotokotowate
lotokot filipiński|kaguan|lotokot|kolugo	lotokotowate
miodojad	miodojady
nastrosz|szczytnica|rzęst	wrzosowate
nastrosz	zawisakowate|zmierzchnikowate
przekopnica	przekopnice|tarczowce|nieboraki
rogoząb|rogoząb australijski|barramunda	rogozębokształtne
tęcznik|liszkarz	biegaczowate
skorek|cęgosz	skorki|cęgosze
palczak madagaskarski|aj-aj	palczakowate|palczaki
tajpan|taipan	zdradnicowate
wombat|niedźwiedź workowaty	wombatowate|wombaty
zmrocznik pazik	zawisakowate|zmierzchnikowate
zmrocznik wilczomleczek	zawisakowate|zmierzchnikowate
żwirowiec	żwirowce
kuskus plamisty	pałankowate|oposy australijskie
seradela|saradela|ptaszyniec	bobowate właściwe|motylkowate właściwe
jednotarczowiec	jednotarczowce|jednopłytkowce
koszatniczka pospolita|koszatnica|koszatniczka zwyczajna|koszatniczka	koszatniczkowate
kolcogłów	kolcogłowy|cierniogłowy
rzemlik	kózkowate
bojownik	guramiowate
batalion|bojownik|bojownik batalion|bojownik zmienny|biegus bojownik|bojownik odmienny	słonki
potrzos|potrzos zwyczajny	trznadle
trzmielojad|trzmielojad zwyczajny|pszczołojad	orłosępy
rokitniczka	trzciniaki
strumieniówka	świerszczaki
tryskacz|ośli ogórek|tryskawiec sprężysty|tryskawiec	dyniowate
daspletozaur	tyranozaury
toina	toinowate
anolis	długonogwanowate
pazurnica|pratchawiec	pazurnice|pratchawce
zmierzchnica trupia główka|trupia główka	zawisakowate|zmierzchnikowate
ryjkowiec	ryjkowcowate
łasza palmowa|łasza	kotokształtne
wiwera malajska	wiwerowate
dwuparzec	dwuparce
kotylozaur	kotylozaury
widliczka	widliczkowate
wieruszka	wieruszkowate
agama	agamowate|agamy
bergenia	skalnicowate
kielichowiec	kielichowcowate
bez|dziki bez	piżmaczkowate
tawlina	różowate
nurzaniec|walisneria	żabiściekowate
aloza|aloza finta	śledziowate
nurzaniec iberyjski	nurzańcowate
nurzaniec błotny	nurzańcowate
nurzaniec kaukaski	nurzańcowate
pępawa	astrowate|złożone
gorzknik	jaskrowate
cukrowiec	wiechlinowate|trawy
przylaszczka	jaskrowate
bobrek	bobrkowate
malwa	ślazowate|malwowate
parietaria|pomurnik	pokrzywowate
omul	siejowate|głąbielowate
omul bajkalski	siejowate|głąbielowate
wgłębka	wgłębkowate
konwalijka	szparagowate
sadziec	astrowate|złożone
świbka	świbkowate
marmozeta	marmozety
tamaryna|tamarina	pazurkowcowate|pazurkowce
rdestowiec	rdestowate
ślazowiec pensylwański	ślazowate|malwowate
perukowiec	nanerczowate
barwinek	toinowate
czerniec	jaskrowate
dziewięciornik	dziewięciornikowate
brzuchorzęska	brzuchorzęski
pomrów	pomrowcowate
racicznica|racicznica zmienna	racicznicowate
równonóg|izopod	równonogi
flaszowiec	flaszowcowate
kosmatka	sitowate
mandarynka	piżmówki
podagrycznik	selerowate|baldaszkowate
siódmaczek	pierwiosnkowate
śledziennica	skalnicowate
turówka	wiechlinowate|trawy
wietlica	rozrzutkowate|wietlicowate
żankiel	selerowate|baldaszkowate
pszczelnik	jasnotowate|wargowe
kolokazja	obrazkowate
burunduk	susły i świszcze
bąk	bąkowate|bąki|ślepaki
szczekuszka	szczekuszkowate
czubajka	pieczarkowate
smardz	smardzowate
leszczynowiec	oczarowate
oleica	oleicowate|majkowate
wieczornik	kapustowate|krzyżowe
łyska|łyska zwyczajna	chruściele|chruścielowate|wodniki
czernica|kaczka czernica	grążyce|kaczki nurkujące
miodokwiat	storczykowe
zawciąg	ołownicowate|zawciągowate
siwerniak|siwarnik|świergotek górski	pliszkowate
pielęgniczka	pielęgnicowate|pielęgnice
miernikowiec	miernikowcowate
skrzelopływka bagienna|zadychra północna|skrzelopływka	bezpancerzowce
skrzelonóg	skrzelonogi
liścionóg	liścionogi
nasięźrzał	nasięźrzałowate
mozga|mielec|ostrzyca	owsowe
czartawa	wiesiołkowate
śniedek	hiacyntowate
śniedek	szparagowate
maskonur	alki
nurzyk zwyczajny|nurzyk|nurzyk podbielały	alki
strepet	dropiowate|dropie
muszka owocowa|drozofila|octówka|muszka owocówka|wywilżna karłowata|wywilżnia|wywilżanka	wywilżankowate|wywilżnowate
eland|kanna	bydło
ichtiostega|rybopłaz	ichtiostegowce
szanta	jasnotowate|wargowe
pysznogłówka	jasnotowate|wargowe
perłowiec	rusałkowate|południce|południcowate|perłowce
jeżówka|najeżka|diodon jeżyk|diodon	najeżkowate
dujker	dujkery
bukwica	jasnotowate|wargowe
emu|emu zwyczajne	emu
oplątwa	bromeliowate|ananasowate|zapylcowate
hulman zwyczajny|langur hulman|hanuman|smukluch	gerezy
krzyżownica	krzyżownicowate
nagórnik zwyczajny|drozd skalny|nadgórnik skalny	kląskawki
okrzyn	selerowate|baldaszkowate
przegrzebek	przegrzebkowate
żółtlica|żółtliczka	astrowate|złożone
surmia|katalpa	bignoniowate
wydmuchrzyca	wiechlinowate|trawy
allozaur	allozaury
archozaur	proterozuchidy
zauropod	zauropody
niesporczak	niesporczaki
skoczogonek	skoczogonki
splewka	splewki
wazonkowiec	wazonkowce|wazonkowcowate|doniczkowce
barwena	barwenowate
bogatek	bogatkowate
grubodziób białoskrzydły	łuskacze
szrotówek kasztanowcowiaczek	kibitnikowate
kląskawka syberyjska	kląskawki
kląskawka zwyczajna|kląskawka	kląskawki
kryl|eufazja|szczętka|eufauzja	krylowate
rozkolec	rozkolcowate|rozkolce
śnieguła|śnieguła zwyczajna|śnieżka|śniegułka	poświerki
śnieguła biała	poświerki
aksamitek|aksamitka	astrowate|złożone
karagana	bobowate właściwe|motylkowate właściwe
metasekwoja	cyprysowate
durian|zybuczkowiec|rościan	ślazowate|malwowate
